experience_id,worker_id,employer_org_id,role_title,location,start_date,end_date,experience_type,key_evidence,source_id,notes
EXP-VON-UA342,WORKER-DEMO-001,ORG-UA342,Construction Helper,"Concord, CA",2026-02,2026-07,union_construction_support,Material handling and staging; pipe and fitting support; hand excavation and trench support; work-area preparation; tool inspection and maintenance; PPE; hazard reporting,SRC-VON-RESUME,Resume supplied month/year precision only.
EXP-VON-SFMTA,WORKER-DEMO-001,ORG-SFMTA,Transit Operator,"San Francisco, CA",2019-07,2026-01,public_transit_operations,"Operated 30- to 60-foot buses, streetcars and light rail; inspections; DOT/Cal-OSHA compliance; hazard escalation; emergency response; dispatch communication",SRC-VON-RESUME,Resume supplied month/year precision only.
EXP-VON-BIGBUS,WORKER-DEMO-001,ORG-BIGBUS,Tour Operator,"San Francisco, CA",2017-07,2019-07,commercial_transportation,Commercial double-deck bus operation; pre/post-trip inspections; tight clearances; steep grades; construction zones; hazard communication,SRC-VON-RESUME,Resume supplied month/year precision only.
EXP-VON-ARMY,WORKER-DEMO-001,ORG-USARMY,Motor Transportation Operator; Specialist E-4,"Concord, CA",2015-10,2022-10,military_transportation_operations,Heavy vehicle and equipment operation; HAZMAT transport; inspections; preventive maintenance; spill/leak containment; recovery exercises; risk assessment; junior-personnel training,SRC-VON-RESUME,Honorably discharged. Resume supplied month/year precision only.
EXP-VON-CYPRESS,WORKER-DEMO-001,ORG-CYPRESS,Green Construction Pre-Apprenticeship Trainee,"Oakland, CA",,2025-09,mc3_pre_apprenticeship,640 hours; framing; concrete forms/foundations; material handling; electrical blueprinting; circuit and schematic interpretation; measurement/layout; hand and power tools,SRC-VON-RESUME,Resume states completion in September 2025 and a 16-week program; exact attendance dates were not provided.
